model,layer,k,threshold,decoding_mode,ts0_f1,ts0_precision,ts0_recall,new_f1,new_precision,new_recall
ernie,11,32,0.95,unconstrained,0.43728410113501115,0.45057278736577633,0.4247568024813196,0.40442590111185306,0.47144499007418245,0.3540896642104355
onehot,0,128,0.65,unconstrained,0.008049943493264518,0.005117251129483358,0.01885670602225431,0.012947742617323631,0.00831497278450624,0.029237966754238558
rinalmo,10,32,0.7,unconstrained,0.01636772099989302,0.01191557851561486,0.02613151152860803,0.024123151728546427,0.017992035671438228,0.036592829267904976
rnabert,0,128,0.65,unconstrained,0.026171249709902592,0.01634689007664231,0.06559088468651196,0.02611447110185445,0.0166527856436908,0.06047456970948333
rnafm,11,32,0.9,unconstrained,0.13860662171898017,0.1113972621681416,0.18340400102444437,0.10345359031603236,0.11763586657186634,0.09232304814599412
roberta,11,32,0.9,unconstrained,0.09844780263116384,0.06798993387295328,0.17833976282326047,0.11381452109287173,0.08366583028258813,0.1779315280925683
