model,layer,k,seed,threshold,decoding_mode,precision,recall,f1,TP,FP,FN,canonical_rate,canonical_rate_wobble
ernie,11,32,42,0.95,unconstrained,0.47144499007418245,0.3540896642104355,0.40442590111185306,45122,50588,82309,0.6657089123393585,0.7202800125378749
roberta,11,32,42,0.9,unconstrained,0.08366583028258813,0.1779315280925683,0.11381452109287173,22374,245047,103371,0.3779546108944324,0.3832945056670942
rnafm,11,32,42,0.9,unconstrained,0.11763586657186634,0.09232304814599412,0.10345359031603236,11747,88112,115491,0.4861755074655264,0.5237284571245456
rinalmo,10,32,42,0.7,unconstrained,0.017992035671438228,0.036592829267904976,0.024123151728546427,4604,251287,121213,0.12967239957638213,0.12967239957638213
onehot,0,128,42,0.65,unconstrained,0.00831497278450624,0.029237966754238558,0.012947742617323631,3706,441996,123047,0.02536672485203118,0.02536672485203118
rnabert,0,128,42,0.65,unconstrained,0.0166527856436908,0.06047456970948333,0.02611447110185445,7498,442757,116488,0.3384348868974248,0.3402982754217055
