alpha,ernie_Vienna,roberta_Vienna,rnafm_Vienna,rinalmo_Vienna,onehot_Vienna,rnabert_Vienna,ernie_Contrafold,roberta_Contrafold,rnafm_Contrafold,rinalmo_Contrafold,onehot_Contrafold,rnabert_Contrafold
0.98,0.6453,0.5557,0.5918,0.5197,0.539,0.5371,0.6703,0.582,0.6193,0.5508,0.5686,0.5671
1.0,0.6461,0.5545,0.592,0.519,0.539,0.5367,0.6711,0.5823,0.6194,0.5505,0.5687,0.5672
1.02,0.6463,0.5547,0.5927,0.5185,0.5389,0.5366,0.6717,0.5821,0.6194,0.5493,0.569,0.5668
1.04,0.6473,0.5544,0.5927,0.5178,0.5389,0.5363,0.6724,0.5823,0.6197,0.5468,0.5684,0.5645
1.06,0.648,0.5537,0.5928,0.5179,0.5389,0.5355,0.6728,0.5826,0.6206,0.5465,0.5685,0.5643
1.08,0.6483,0.5534,0.5928,0.5175,0.5379,0.5342,0.673,0.5819,0.6203,0.5459,0.568,0.5637
1.1,0.6482,0.5533,0.592,0.517,0.5379,0.533,0.6733,0.581,0.6203,0.5442,0.5671,0.563
1.12,0.6494,0.5524,0.5927,0.517,0.5368,0.5331,0.6737,0.5807,0.6206,0.542,0.5667,0.5625
1.14,0.6496,0.5525,0.594,0.5159,0.5368,0.532,0.6741,0.5798,0.6204,0.5408,0.566,0.5615
1.16,0.65,0.5506,0.594,0.5141,0.5364,0.5314,0.6749,0.5786,0.6204,0.5394,0.5656,0.5599
1.18,0.6506,0.5504,0.5946,0.5127,0.5364,0.5317,0.6752,0.5782,0.6206,0.5383,0.5654,0.5585
1.2,0.6508,0.5502,0.5947,0.5118,0.5366,0.5306,0.675,0.578,0.6198,0.5378,0.5651,0.5581
1.22,0.651,0.5492,0.5943,0.5106,0.5363,0.5291,0.676,0.578,0.6197,0.5365,0.5656,0.5586
1.24,0.6514,0.5486,0.5934,0.5108,0.5362,0.5283,0.6757,0.5771,0.6195,0.5349,0.5649,0.5576
1.26,0.6519,0.5478,0.5936,0.5093,0.5354,0.5277,0.676,0.5763,0.6191,0.5349,0.5648,0.557
1.28,0.6522,0.5474,0.5941,0.5079,0.5354,0.5262,0.6767,0.5756,0.6194,0.535,0.5647,0.5558
1.3,0.6526,0.5471,0.5938,0.5068,0.5353,0.5254,0.6769,0.5747,0.6189,0.5345,0.5643,0.5554
1.32,0.6531,0.5456,0.594,0.5067,0.5353,0.5239,0.6781,0.5734,0.6189,0.533,0.564,0.5547
1.34,0.6537,0.545,0.594,0.5048,0.5349,0.524,0.6786,0.5734,0.6186,0.5311,0.5639,0.5546
1.36,0.6538,0.5428,0.5938,0.5049,0.5343,0.5229,0.6784,0.5733,0.618,0.5302,0.5633,0.5543
