model,alpha,mean_f1
ernie,1.92,0.7102378359721262
roberta,0.44,0.6344562626751215
rnafm,1.78,0.6237877654425995
rinalmo,0.0,0.6295580204224543
onehot,0.04,0.6288966447431037
rnabert,0.14,0.6282476781087953
