model,alpha,mean_f1
ernie,1.96,0.6828071571058465
roberta,0.56,0.5867955806996191
rnafm,1.06,0.6235172094118049
rinalmo,0.42,0.5666710169739998
onehot,0.74,0.5724765136754428
rnabert,0.56,0.5789762024930828
