model,alpha,mean_f1
ernie,1.96,0.7382947344604527
roberta,0.56,0.6597320281779794
rnafm,1.06,0.6532084543201806
rinalmo,0.42,0.6461375442273366
onehot,0.74,0.6514527699663012
rnabert,0.56,0.6493945861707792
