model,alpha,mean_f1
ernie,1.92,0.6561926030443342
roberta,0.44,0.5545538882271284
rnafm,1.78,0.6018916815104843
rinalmo,0.0,0.5437775568919743
onehot,0.04,0.5439247571874521
rnabert,0.14,0.5488947629511893
